Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2781227;bis:;2786986
Ausgelesen am:;30.06.2025 10:37:21;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Z hlvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldst rke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782085;27.06.25 00:42:05;-32,686;-0,111;17,696;2,454;22,670;800,180;3,555;67,730;22,540;67,050;22,920;0,402;262,339;29,081;30,272;6377;637,7;;0,0;60;12,39;23,41;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782086;27.06.25 00:43:05;-32,534;-0,111;17,771;2,385;22,670;800,180;3,555;67,705;22,555;66,905;22,915;0,510;241,133;29,054;30,266;6377;637,7;;0,0;60;12,40;23,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782087;27.06.25 00:44:05;-32,355;-0,111;17,770;2,517;22,663;800,180;3,549;67,550;22,535;66,710;22,910;0,446;248,934;29,054;30,250;6377;637,7;;0,0;60;12,40;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782088;27.06.25 00:45:05;-32,714;-0,111;17,726;2,567;22,657;800,180;3,549;67,395;22,520;66,565;22,925;0,325;213,908;29,027;30,247;6377;637,7;;0,0;60;12,40;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782089;27.06.25 00:46:05;-33,704;-0,111;17,676;2,657;22,665;800,180;3,549;67,520;22,555;66,660;22,945;0,439;198,591;29,011;30,226;6377;637,7;;0,0;60;12,40;23,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782090;27.06.25 00:47:05;-34,879;-0,111;17,438;2,596;22,665;800,180;3,555;67,595;22,530;66,715;22,940;0,653;234,816;29,008;30,232;6377;637,7;;0,0;60;12,40;23,21;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782091;27.06.25 00:48:05;-35,911;-0,111;17,295;2,466;22,653;800,180;3,549;67,485;22,550;66,540;22,945;0,555;198,225;29,008;30,199;6377;637,7;;0,0;60;12,41;23,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782092;27.06.25 00:49:05;-36,660;-0,111;17,182;2,409;22,655;800,180;3,552;67,495;22,560;66,670;22,925;0,765;208,339;29,005;30,198;6377;637,7;;0,0;60;12,40;23,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782093;27.06.25 00:50:05;-37,437;-0,111;17,084;2,383;22,648;800,180;3,555;67,490;22,550;66,650;22,935;0,529;202,584;28,996;30,183;6377;637,7;;0,0;60;12,41;23,41;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782094;27.06.25 00:51:05;-38,413;-0,111;16,919;2,311;22,637;800,180;3,549;67,475;22,540;66,570;22,910;0,861;227,858;28,975;30,183;6377;637,7;;0,0;60;12,40;23,53;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782095;27.06.25 00:52:05;-39,432;-0,111;16,750;2,255;22,645;800,180;3,552;67,410;22,525;66,620;22,890;0,669;193,714;28,947;30,180;6377;637,7;;0,0;60;12,40;23,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782096;27.06.25 00:53:05;-40,015;-0,111;16,730;2,345;22,625;800,180;3,555;67,485;22,520;66,665;22,880;0,280;222,244;28,944;30,180;6377;637,7;;0,0;60;12,41;23,17;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782097;27.06.25 00:54:05;-40,518;-0,111;16,709;2,426;22,622;800,180;3,552;67,440;22,505;66,715;22,885;0,264;169,712;28,932;30,180;6377;637,7;;0,0;60;12,41;23,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782098;27.06.25 00:55:05;-41,181;-0,111;16,643;2,460;22,618;800,180;3,549;67,380;22,520;66,575;22,905;0,362;204,452;28,914;30,180;6377;637,7;;0,0;60;12,40;23,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
