ONLINEMESSUNG
Datum/Uhrzeit;15.07.2025 08:22:53
Nr.;Datum/Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang [s] = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe [] = f5;Feldstärke 1 [] = f6
131;15.07.25 09:32:13;-83,712;522,868;17,750;65,635;24,250;800,204;3,972;57,000;22,720;58,100;22,440;0,698;228,060;23,637;24,613;6377;637,7;0;0,0;13;13,43;32,46;0;14
132;15.07.25 09:32:36;-82,918;525,818;18,269;66,213;24,240;800,204;3,948;57,220;22,720;58,860;22,440;1,702;32,018;23,637;24,613;6377;637,7;0;0,0;11;13,42;32,62;0;14
133;15.07.25 09:33:18;-82,909;528,554;18,307;66,281;24,240;800,180;3,972;56,640;22,780;58,480;22,340;0,820;24,548;23,637;24,674;6377;637,7;0;0,0;13;13,39;32,78;0;14
134;15.07.25 09:33:41;-81,874;532,617;18,840;66,431;24,260;800,192;3,936;56,840;22,700;58,860;22,240;1,317;309,105;23,686;24,674;6377;637,7;0;0,0;11;13,26;32,94;0;14
135;15.07.25 09:34:23;-81,310;542,748;19,046;68,352;24,320;800,204;3,972;56,860;22,760;58,600;22,260;2,625;350,573;23,722;24,662;6377;637,7;0;0,0;13;13,44;32,78;0;14
136;15.07.25 09:34:46;-80,416;550,482;19,272;69,324;24,300;800,192;3,948;57,120;22,780;58,920;22,320;1,819;8,438;23,722;24,650;6377;637,7;0;0,0;11;13,48;32,78;0;14
137;15.07.25 09:35:27;-79,874;560,940;19,630;71,149;24,280;800,192;3,960;56,840;22,780;58,680;22,240;2,016;332,483;23,734;24,650;6377;637,7;0;0,0;12;13,51;32,46;0;14
138;15.07.25 09:36:09;-77,725;569,296;20,757;72,003;24,280;800,180;3,972;57,000;22,740;59,240;22,260;0,703;290,610;23,734;24,626;6377;637,7;0;0,0;14;13,55;32,30;0;14
139;15.07.25 09:36:32;-77,317;574,011;20,980;72,872;24,360;800,204;3,972;57,400;22,760;59,560;22,320;1,383;0,135;23,747;24,687;6377;637,7;0;0,0;12;13,61;32,78;0;14
140;15.07.25 09:37:14;-76,168;583,622;20,555;74,892;24,400;800,192;3,984;57,220;22,780;59,140;22,280;1,355;112,545;23,808;24,674;6377;637,7;0;0,0;14;13,62;32,94;0;14
141;15.07.25 09:37:37;-75,047;586,536;21,316;74,884;24,440;800,204;3,972;57,460;22,820;59,440;22,260;1,505;114,525;23,832;24,613;6377;637,7;0;0,0;12;13,68;32,94;0;14
142;15.07.25 09:38:19;-74,645;603,665;21,062;77,801;24,470;800,204;3,984;57,260;22,820;59,240;22,280;2,152;77,513;23,832;24,650;6377;637,7;0;0,0;14;13,77;32,94;0;14
143;15.07.25 09:38:42;-73,249;607,622;21,594;78,658;24,490;800,204;3,972;56,880;22,820;59,140;22,240;1,336;321,683;23,832;24,638;6377;637,7;0;0,0;12;13,80;32,78;0;14
144;15.07.25 09:39:24;-72,492;617,065;22,051;80,431;24,580;800,204;3,984;57,380;22,860;59,860;22,320;2,733;302,175;23,832;24,687;6377;637,7;0;0,0;14;13,90;32,78;0;14
145;15.07.25 09:39:47;-71,236;609,582;22,361;77,724;24,580;800,204;3,960;56,880;22,940;58,880;22,340;0,848;348,345;23,881;24,662;6377;637,7;0;0,0;12;13,88;32,94;0;14
146;15.07.25 09:40:28;NaN;NaN;22,215;69,376;24,670;800,204;3,984;57,420;22,940;60,200;22,400;1,697;319,095;23,930;24,662;6377;637,7;0;0,0;13;13,81;32,94;0;14
147;15.07.25 09:40:59;-65,916;556,409;23,321;67,615;24,750;800,204;3,936;57,280;23,040;59,600;22,520;0,356;149,558;23,930;24,662;6377;637,7;0;0,0;14;13,85;33,89;0;14
148;15.07.25 09:41:22;-66,310;416,408;21,388;48,148;24,780;800,204;3,900;57,240;23,100;59,380;22,600;0,609;131,063;23,930;24,687;6377;637,7;0;0,0;12;13,51;33,41;0;14
149;15.07.25 09:42:04;-64,936;470,508;20,240;57,900;24,820;800,204;3,960;56,880;23,140;58,600;22,700;0,642;238,793;24,027;24,687;6377;637,7;0;0,0;14;13,60;33,25;0;14
150;15.07.25 09:42:27;-62,690;597,611;21,926;75,989;24,870;800,204;3,984;57,100;23,140;59,060;22,740;0,586;209,070;23,930;24,662;6377;637,7;0;0,0;12;14,08;33,25;0;14
151;15.07.25 09:43:09;-62,327;624,761;23,470;80,313;24,940;800,204;3,888;57,340;23,240;59,300;22,820;1,317;327,915;24,052;24,699;6377;637,7;0;0,0;12;14,00;33,41;0;14
152;15.07.25 09:43:32;-62,425;587,341;23,267;76,608;24,980;800,192;3,852;56,840;23,340;58,560;22,860;0,506;268,088;24,052;24,638;6377;637,7;0;0,0;11;13,95;33,41;0;14
153;15.07.25 09:44:14;-61,743;634,670;23,719;83,772;25,110;800,204;3,912;57,040;23,360;58,520;22,980;0,961;280,463;24,137;24,687;6377;637,7;0;0,0;14;14,01;33,25;0;14
154;15.07.25 09:44:44;-62,816;601,824;23,259;78,749;25,140;800,204;3,900;57,140;23,460;59,320;23,100;1,828;279,000;24,125;24,711;6377;637,7;0;0,0;14;13,97;33,57;0;14
155;15.07.25 09:45:07;-61,939;490,380;21,914;62,024;25,170;800,192;3,852;56,320;23,460;57,820;23,140;1,927;331,515;24,137;24,711;6377;637,7;0;0,0;10;13,47;33,57;0;14
156;15.07.25 09:45:49;-60,133;345,691;20,585;39,978;25,140;800,180;3,876;56,080;23,480;57,580;23,140;1,533;255,893;24,174;24,711;6377;637,7;0;0,0;14;13,43;33,57;0;14
157;15.07.25 09:46:12;-59,088;371,110;19,887;39,095;25,150;800,204;3,864;56,280;23,480;57,940;23,100;0,563;302,153;24,223;24,711;6377;637,7;0;0,0;12;13,38;33,73;0;14
158;15.07.25 09:46:53;-55,757;286,210;18,556;31,173;25,150;800,192;3,864;56,240;23,560;57,980;23,060;1,481;354,645;24,223;24,711;6377;637,7;0;0,0;13;13,30;33,73;0;14
159;15.07.25 09:47:16;-53,507;294,215;17,960;32,134;25,140;800,204;3,852;56,100;23,500;58,100;23,080;0,530;321,188;24,223;24,711;6377;637,7;0;0,0;11;13,27;33,89;0;14
160;15.07.25 09:47:57;-50,721;309,850;17,816;34,476;25,110;800,192;3,876;55,700;23,640;58,080;23,120;1,359;92,903;24,235;24,699;6377;637,7;0;0,0;12;13,27;33,73;0;14
161;15.07.25 09:48:39;-49,303;324,783;17,588;36,555;25,040;800,192;3,876;55,500;23,560;57,160;23,140;2,264;53,348;24,308;24,711;6377;637,7;0;0,0;14;13,25;33,57;0;14
162;15.07.25 09:49:02;-49,908;330,871;17,260;37,483;25,010;800,204;3,852;55,120;23,540;56,760;23,080;0,661;17,550;24,296;24,711;6377;637,7;0;0,0;12;13,26;33,57;0;14
163;15.07.25 09:49:44;-51,817;296,047;17,485;31,845;24,950;800,204;3,876;55,520;23,360;57,740;22,840;0,544;333,743;24,320;24,650;6377;637,7;0;0,0;14;13,21;33,89;0;14
164;15.07.25 09:50:07;-51,464;299,910;17,189;33,187;24,980;800,204;3,852;55,400;23,380;57,800;22,900;0,427;153,878;24,320;24,711;6377;637,7;0;0,0;12;13,22;33,73;0;14
165;15.07.25 09:50:49;-50,342;310,935;16,519;34,563;24,940;800,192;3,888;55,840;23,400;57,620;22,840;0,905;103,838;24,369;24,711;6377;637,7;0;0,0;14;13,24;33,73;0;14
166;15.07.25 09:51:12;-48,170;349,839;17,637;37,791;24,930;800,204;3,852;55,660;23,280;57,720;22,700;1,092;271,215;24,357;24,699;6377;637,7;0;0,0;12;13,24;33,57;0;14
167;15.07.25 09:51:54;-47,329;292,777;16,779;32,694;24,870;800,192;3,852;55,800;23,280;58,000;22,640;1,214;253,620;24,418;24,711;6377;637,7;0;0,0;14;13,20;33,25;0;14
168;15.07.25 09:52:17;-46,198;301,601;16,761;34,195;24,850;800,204;3,852;55,820;23,140;58,200;22,560;1,927;344,520;24,418;24,699;6377;637,7;0;0,0;12;13,21;33,41;0;14
169;15.07.25 09:52:58;-43,853;334,961;17,854;38,389;24,770;800,204;3,864;56,500;23,160;58,920;22,480;1,003;312,593;24,418;24,711;6377;637,7;0;0,0;13;13,25;33,25;0;14
170;15.07.25 09:53:21;-42,180;346,657;18,574;41,776;24,810;800,192;3,828;56,860;23,100;59,680;22,480;1,495;335,790;24,467;24,711;6377;637,7;0;0,0;11;13,26;33,25;0;14
171;15.07.25 09:54:03;-39,994;291,696;18,303;33,582;24,790;800,204;3,864;57,180;23,100;59,120;22,500;0,877;286,830;24,491;24,711;6377;637,7;0;0,0;13;13,26;32,94;0;14
172;15.07.25 09:54:26;-38,295;363,628;19,131;43,703;24,760;800,204;3,864;56,660;22,980;58,680;22,520;0,750;290,543;24,516;24,711;6377;637,7;0;0,0;11;13,26;32,94;0;14
173;15.07.25 09:55:08;-38,024;245,351;17,912;27,529;24,700;800,204;3,864;56,820;22,980;59,240;22,520;1,748;262,845;24,528;24,711;6377;637,7;0;0,0;13;13,18;33,57;0;14
174;15.07.25 09:55:31;-38,332;203,401;17,141;21,311;24,660;800,204;3,840;56,680;22,960;58,680;22,500;0,722;294,728;24,528;24,711;6377;637,7;0;0,0;11;13,16;32,94;0;14
175;15.07.25 09:56:12;-37,978;188,773;16,986;19,767;24,600;800,204;3,864;56,760;22,840;58,660;22,500;1,898;311,760;24,565;24,711;6377;637,7;0;0,0;12;13,13;33,25;0;14
176;15.07.25 09:56:53;-37,537;187,443;16,540;18,891;24,490;800,204;3,852;57,140;22,840;58,580;22,460;1,064;260,618;24,601;24,711;6377;637,7;0;0,0;13;13,11;33,57;0;14
177;15.07.25 09:57:16;-37,556;186,859;16,767;18,757;24,460;800,204;3,864;57,280;22,740;59,080;22,420;0,675;320,693;24,613;24,723;6377;637,7;0;0,0;11;13,06;33,25;0;14
178;15.07.25 09:57:58;-37,196;172,176;16,299;17,067;24,410;800,204;3,876;57,100;22,660;58,720;22,360;0,966;321,885;24,613;24,723;6377;637,7;0;0,0;13;13,05;33,10;0;14
179;15.07.25 09:58:21;-36,779;167,031;15,785;16,666;24,340;800,204;3,852;57,080;22,640;58,340;22,360;0,980;239,288;24,638;24,711;6377;637,7;0;0,0;11;13,04;32,94;0;14
180;15.07.25 09:59:03;-35,769;139,319;15,868;12,736;24,230;800,192;3,864;57,840;22,540;59,500;22,280;1,767;316,755;24,674;24,736;6377;637,7;0;0,0;13;13,00;32,94;0;14
181;15.07.25 09:59:26;-35,383;130,404;15,282;11,644;24,220;800,204;3,852;57,560;22,480;58,720;22,240;0,380;339,390;24,711;24,748;6377;637,7;0;0,0;11;12,99;32,62;0;14
182;15.07.25 10:00:08;-34,661;124,083;15,214;10,997;24,110;800,204;3,864;57,900;22,520;59,140;22,180;0,942;40,275;24,711;24,736;6377;637,7;0;0,0;13;12,99;32,46;0;14
183;15.07.25 10:00:31;-34,565;124,278;15,343;11,255;24,080;800,204;3,840;57,920;22,440;59,260;22,120;1,931;105,165;24,723;24,784;6377;637,7;0;0,0;11;12,97;32,14;0;14
184;15.07.25 10:01:12;-33,969;125,227;15,189;10,818;23,950;800,192;3,864;58,040;22,380;59,460;22,000;0,670;27,225;24,711;24,760;6377;637,7;0;0,0;12;12,95;32,46;0;14
185;15.07.25 10:01:54;-33,599;126,202;15,362;11,338;23,810;800,204;3,852;58,220;22,280;59,780;21,880;0,778;243,428;24,784;24,736;6377;637,7;0;0,0;14;12,92;32,14;0;14
186;15.07.25 10:02:17;-34,480;126,147;15,326;11,308;23,780;800,192;3,828;58,580;22,280;60,060;21,900;1,495;218,520;24,797;24,760;6377;637,7;0;0,0;12;12,89;32,14;0;14
187;15.07.25 10:02:58;-35,782;128,236;15,561;11,958;23,710;800,204;3,816;58,780;22,160;60,240;21,780;0,586;120,060;24,797;24,772;6377;637,7;0;0,0;13;12,89;31,83;0;14
188;15.07.25 10:03:21;-37,070;129,463;15,407;11,893;23,690;800,204;3,804;58,660;22,060;60,420;21,720;0,848;192,668;24,809;24,736;6377;637,7;0;0,0;11;12,87;32,14;0;14
189;15.07.25 10:04:03;-40,524;137,896;15,469;13,195;23,630;800,180;3,804;58,980;22,000;60,640;21,700;2,161;309,645;24,809;24,797;6377;637,7;0;0,0;13;12,84;32,46;0;14
190;15.07.25 10:04:26;-42,162;146,999;15,644;13,930;23,580;800,204;3,768;58,920;21,960;60,520;21,660;1,275;353,835;24,845;24,809;6377;637,7;0;0,0;11;12,83;31,83;0;14
191;15.07.25 10:05:08;-44,714;166,062;15,847;16,610;23,500;800,180;3,804;59,240;21,880;60,780;21,660;3,506;19,350;24,882;24,809;6377;637,7;0;0,0;13;12,85;31,67;0;14
192;15.07.25 10:05:31;-45,385;176,035;15,839;17,671;23,470;800,204;3,804;59,220;21,760;60,580;21,560;1,575;342,180;24,906;24,797;6377;637,7;0;0,0;11;12,86;31,35;0;14
193;15.07.25 10:06:13;-45,499;188,654;16,248;19,145;23,370;800,204;3,816;59,500;21,740;60,800;21,500;2,484;345,060;24,906;24,797;6377;637,7;0;0,0;13;12,83;31,51;0;14
194;15.07.25 10:06:36;-45,286;193,592;16,473;19,308;23,380;800,192;3,804;59,680;21,680;61,020;21,480;1,209;15,278;24,906;24,809;6377;637,7;0;0,0;11;12,85;31,03;0;14
195;15.07.25 10:07:18;-44,585;204,858;16,804;20,829;23,290;800,204;3,804;59,540;21,700;60,840;21,480;1,270;8,033;24,906;24,809;6377;637,7;0;0,0;13;12,88;31,35;0;14
196;15.07.25 10:07:41;-44,462;210,594;16,722;21,692;23,260;800,192;3,768;59,820;21,580;61,100;21,420;0,998;136,035;24,906;24,809;6377;637,7;0;0,0;11;12,88;31,03;0;14
197;15.07.25 10:08:22;-44,628;222,870;17,633;23,521;23,200;800,204;3,780;60,220;21,560;61,680;21,340;1,050;293,895;24,919;24,809;6377;637,7;0;0,0;12;12,88;31,03;0;14
198;15.07.25 10:09:04;-44,719;234,507;18,226;25,321;23,200;800,204;3,792;60,300;21,540;61,860;21,380;0,530;288,810;24,980;24,809;6377;637,7;0;0,0;14;12,92;31,19;0;14
199;15.07.25 10:09:27;-45,337;238,778;18,451;26,182;23,170;800,204;3,780;60,720;21,540;61,820;21,400;1,584;335,610;24,992;24,809;6377;637,7;0;0,0;12;12,92;30,87;0;14
200;15.07.25 10:10:09;-47,006;247,677;18,569;27,500;23,150;800,204;3,804;60,300;21,520;61,380;21,400;1,758;338,558;25,004;24,809;6377;637,7;0;0,0;14;12,95;31,35;0;14
201;15.07.25 10:10:32;-47,492;252,878;18,549;28,436;23,160;800,204;3,792;60,260;21,560;61,080;21,460;2,077;39,488;25,004;24,809;6377;637,7;0;0,0;12;12,98;31,19;0;14
202;15.07.25 10:11:14;-47,238;260,329;19,197;29,187;23,160;800,204;3,816;60,260;21,500;61,280;21,380;0,853;288,180;25,004;24,809;6377;637,7;0;0,0;14;13,00;30,87;0;14
203;15.07.25 10:11:37;-46,880;259,922;19,207;29,253;23,150;800,204;3,804;60,420;21,500;61,240;21,420;0,516;291,578;25,016;24,809;6377;637,7;0;0,0;12;13,03;31,19;0;14
204;15.07.25 10:12:19;-46,648;257,618;19,196;29,275;23,170;800,192;3,840;60,960;21,520;61,420;21,560;1,533;14,873;25,028;24,845;6377;637,7;0;0,0;14;13,07;30,87;0;14
205;15.07.25 10:12:42;-46,063;257,510;19,512;29,263;23,120;800,204;3,828;60,520;21,440;61,160;21,460;1,355;337,658;25,028;24,845;6377;637,7;0;0,0;12;12,98;30,56;0;14
206;15.07.25 10:13:24;-46,398;260,721;19,834;29,546;23,120;800,204;3,876;60,880;21,540;61,700;21,520;1,088;34,065;25,102;24,809;6377;637,7;0;0,0;14;13,06;30,71;0;14
207;15.07.25 10:13:47;-46,579;262,127;19,752;29,925;23,140;800,204;3,828;60,880;21,480;61,340;21,520;0,961;307,778;25,090;24,821;6377;637,7;0;0,0;12;13,04;31,03;0;14
208;15.07.25 10:14:29;-47,247;263,725;19,875;30,453;23,160;800,204;3,828;61,720;21,500;62,520;21,600;0,600;279,158;25,102;24,821;6377;637,7;0;0,0;14;13,06;30,87;0;14
209;15.07.25 10:14:52;-47,187;266,040;20,191;30,792;23,170;800,192;3,852;61,520;21,520;61,960;21,640;0,956;260,663;25,102;24,894;6377;637,7;0;0,0;12;13,08;31,03;0;14
210;15.07.25 10:15:34;-46,795;274,438;20,339;32,107;23,190;800,204;3,864;61,320;21,560;61,660;21,720;0,333;286,583;25,102;24,870;6377;637,7;0;0,0;14;13,09;30,56;0;14
211;15.07.25 10:15:57;-46,392;279,080;20,405;32,861;23,260;800,204;3,852;61,320;21,600;61,420;21,760;2,095;277,335;25,114;24,870;6377;637,7;0;0,0;12;13,11;30,87;0;14
212;15.07.25 10:16:39;-45,257;282,779;20,313;33,104;23,240;800,180;3,864;61,000;21,660;61,400;21,840;1,847;254,138;25,126;24,882;6377;637,7;0;0,0;14;13,12;30,87;0;14
213;15.07.25 10:17:02;-44,856;282,390;20,208;32,819;23,250;800,192;3,864;60,280;21,580;61,160;21,840;1,627;246,690;25,151;24,906;6377;637,7;0;0,0;12;13,14;30,56;0;14
214;15.07.25 10:17:44;-43,144;278,858;20,653;31,965;23,230;800,204;3,864;60,320;21,760;60,400;21,960;1,566;13,253;25,199;24,858;6377;637,7;0;0,0;14;13,17;30,56;0;14
215;15.07.25 10:18:07;-42,729;277,665;20,706;31,908;23,220;800,192;3,840;60,200;21,660;60,100;21,880;0,881;293,850;25,175;24,870;6377;637,7;0;0,0;12;13,16;30,71;0;14
216;15.07.25 10:18:48;-42,630;275,937;20,587;31,875;23,250;800,192;3,864;60,060;21,660;59,540;21,920;0,473;322,290;25,199;24,906;6377;637,7;0;0,0;13;13,16;30,56;0;14
217;15.07.25 10:19:11;-42,227;275,143;20,892;31,757;23,280;800,204;3,852;60,320;21,680;59,820;21,900;1,355;284,985;25,224;24,906;6377;637,7;0;0,0;11;13,15;30,71;0;14
218;15.07.25 10:19:53;-41,825;272,652;20,582;31,720;23,270;800,204;3,864;59,740;21,740;59,580;21,940;1,598;317,880;25,199;24,906;6377;637,7;0;0,0;13;13,12;30,87;0;14
219;15.07.25 10:20:16;-41,769;268,516;20,630;30,933;23,270;800,192;3,840;59,480;21,760;59,280;21,980;1,238;236,340;25,224;24,894;6377;637,7;0;0,0;11;13,12;30,56;0;14
220;15.07.25 10:20:58;-41,876;259,710;21,078;29,987;23,330;800,180;3,864;59,460;21,780;59,500;22,020;0,502;101,160;25,260;24,894;6377;637,7;0;0,0;13;13,14;30,56;0;14
221;15.07.25 10:21:21;-42,093;254,384;20,646;29,240;23,300;800,192;3,840;59,440;21,760;59,560;22,000;0,525;278,640;25,236;24,906;6377;637,7;0;0,0;11;13,12;30,56;0;14
222;15.07.25 10:22:02;-42,568;244,720;20,480;28,179;23,320;800,204;3,876;59,760;21,780;59,920;22,020;1,453;264,713;25,224;24,906;6377;637,7;0;0,0;12;13,11;30,56;0;14
223;15.07.25 10:22:44;-42,514;232,276;20,140;26,687;23,330;800,204;3,852;59,660;21,800;59,480;22,020;1,373;353,003;25,285;24,906;6377;637,7;0;0,0;14;13,13;30,56;0;14
224;15.07.25 10:23:07;-42,676;225,694;19,856;25,706;23,310;800,204;3,852;59,340;21,840;59,440;22,100;0,591;91,598;25,297;24,906;6377;637,7;0;0,0;12;13,12;30,71;0;14
225;15.07.25 10:23:49;-42,908;218,800;20,016;24,750;23,350;800,192;3,852;59,220;21,920;59,160;22,060;0,698;46,890;25,297;24,919;6377;637,7;0;0,0;14;13,10;30,56;0;14
226;15.07.25 10:24:12;-43,232;219,107;19,621;25,145;23,330;800,204;3,840;59,140;21,880;58,960;22,100;0,741;20,318;25,297;24,906;6377;637,7;0;0,0;12;13,12;30,87;0;14
227;15.07.25 10:24:54;-43,898;227,146;20,071;26,157;23,360;800,192;3,828;59,640;21,920;59,900;22,180;0,567;23,130;25,297;24,919;6377;637,7;0;0,0;14;13,15;30,71;0;14
228;15.07.25 10:25:17;-44,978;234,604;19,582;27,252;23,390;800,204;3,840;59,600;21,840;59,540;22,180;0,525;172,643;25,309;24,906;6377;637,7;0;0,0;12;13,15;30,87;0;14
229;15.07.25 10:25:58;-45,637;251,197;20,131;29,347;23,400;800,192;3,840;59,940;21,900;60,000;22,200;0,638;332,505;25,309;24,980;6377;637,7;0;0,0;13;13,17;30,40;0;14
230;15.07.25 10:26:21;-47,008;259,779;19,929;30,625;23,410;800,204;3,828;59,460;21,900;59,160;22,240;0,563;268,898;25,334;24,980;6377;637,7;0;0,0;11;13,17;30,56;0;14
231;15.07.25 10:27:02;-48,497;277,952;20,248;32,952;23,430;800,204;3,852;59,220;21,980;59,000;22,260;0,366;227,993;25,358;24,931;6377;637,7;0;0,0;12;13,25;30,56;0;14
232;15.07.25 10:27:43;-50,829;285,612;20,413;34,335;23,510;800,192;3,852;59,400;22,140;59,220;22,340;0,211;24,075;25,358;24,980;6377;637,7;0;0,0;13;13,27;30,40;0;14
233;15.07.25 10:28:06;-52,233;297,676;19,857;36,214;23,550;800,192;3,828;58,740;22,120;58,120;22,320;1,898;16,178;25,395;24,931;6377;637,7;0;0,0;11;13,31;30,87;0;14
234;15.07.25 10:28:48;-52,439;329,468;21,019;39,146;23,540;800,204;3,852;58,420;22,120;58,740;22,220;0,773;352,440;25,383;24,967;6377;637,7;0;0,0;13;13,40;30,71;0;14
235;15.07.25 10:29:11;-53,608;342,768;21,021;40,888;23,560;800,204;3,828;58,520;22,100;58,580;22,280;0,609;153,855;25,395;25,004;6377;637,7;0;0,0;11;13,44;30,71;0;14
236;15.07.25 10:29:53;-54,218;360,130;21,564;42,788;23,610;800,180;3,876;58,100;22,180;59,000;22,240;0,848;192,645;25,395;25,004;6377;637,7;0;0,0;13;13,52;30,71;0;14
237;15.07.25 10:30:16;-53,240;554,027;23,762;67,827;23,620;800,204;3,888;58,100;22,060;59,000;22,180;1,664;322,785;25,395;24,980;6377;637,7;0;0,0;11;14,11;30,56;0;14
238;15.07.25 10:30:58;-54,121;567,408;24,144;70,897;23,660;800,204;3,888;57,800;22,260;57,960;22,280;0,773;13,005;25,431;24,980;6377;637,7;0;0,0;13;14,03;30,71;0;14
239;15.07.25 10:31:21;-53,959;393,978;23,510;46,101;23,710;800,204;3,852;57,700;22,280;57,980;22,260;1,378;24,930;25,407;24,967;6377;637,7;0;0,0;11;13,72;30,56;0;14
240;15.07.25 10:32:03;-54,672;356,973;22,608;42,334;23,760;800,204;3,864;57,920;22,200;58,400;22,180;1,350;327,938;25,419;25,004;6377;637,7;0;0,0;13;13,66;31,19;0;14
241;15.07.25 10:32:26;-54,496;409,072;22,768;54,941;23,780;800,192;3,852;57,840;22,200;58,260;22,180;2,077;352,958;25,407;25,004;6377;637,7;0;0,0;11;13,90;30,56;0;14
242;15.07.25 10:33:08;-53,194;632,470;23,429;89,392;23,850;800,204;3,876;57,340;22,260;57,720;22,240;1,439;329,333;25,444;25,004;6377;637,7;0;0,0;13;14,01;31,03;0;14
243;15.07.25 10:33:31;-51,935;405,911;24,219;47,726;23,880;800,192;3,828;57,760;22,320;58,540;22,200;1,280;305,955;25,480;25,004;6377;637,7;0;0,0;11;13,95;30,87;0;14
244;15.07.25 10:34:13;-50,645;444,247;25,579;53,243;23,950;800,204;3,852;58,100;22,360;58,740;22,300;0,717;268,493;25,480;25,004;6377;637,7;0;0,0;13;14,01;31,35;0;14
245;15.07.25 10:34:36;-50,963;423,153;24,734;51,581;24,020;800,192;3,816;58,000;22,420;58,400;22,380;0,356;38,970;25,492;25,004;6377;637,7;0;0,0;11;14,10;31,03;0;14
246;15.07.25 10:35:18;-49,629;426,141;26,185;51,649;24,080;800,192;3,876;57,740;22,420;59,280;22,480;0,961;321,413;25,492;25,004;6377;637,7;0;0,0;13;14,02;31,35;0;14
247;15.07.25 10:35:41;-49,300;435,327;25,503;53,576;24,120;800,204;3,864;57,500;22,480;57,540;22,540;0,938;103,343;25,492;25,004;6377;637,7;0;0,0;11;14,02;31,19;0;14
248;15.07.25 10:36:23;-48,358;455,072;26,509;55,046;24,220;800,204;3,864;57,340;22,520;57,500;22,520;0,755;302,175;25,492;25,004;6377;637,7;0;0,0;13;14,03;31,51;0;14
249;15.07.25 10:36:46;-47,842;648,524;27,076;78,745;24,270;800,204;3,828;57,200;22,560;57,780;22,500;0,305;276,323;25,492;25,016;6377;637,7;0;0,0;11;13,99;31,51;0;14
250;15.07.25 10:37:28;-47,557;549,476;26,271;73,148;24,370;800,192;3,804;57,260;22,660;57,640;22,600;0,422;101,610;25,492;25,028;6377;637,7;0;0,0;13;13,99;31,51;0;14
251;15.07.25 10:37:51;-46,682;548,513;26,838;67,091;24,410;800,204;3,816;56,900;22,720;57,400;22,580;0,305;61,335;25,492;25,041;6377;637,7;0;0,0;11;14,03;31,83;0;14
252;15.07.25 10:38:33;-46,943;410,251;26,301;49,372;24,520;800,204;3,828;58,140;22,760;59,140;22,600;1,092;287,843;25,529;25,004;6377;637,7;0;0,0;13;13,94;31,83;0;14
253;15.07.25 10:38:56;-47,806;393,150;25,654;46,835;24,530;800,192;3,792;56,960;22,800;58,840;22,680;1,158;325,440;25,517;25,028;6377;637,7;0;0,0;11;13,81;31,83;0;14
254;15.07.25 10:39:38;-48,246;375,044;25,015;44,248;24,570;800,192;3,804;57,200;22,860;58,380;22,740;1,420;249,863;25,492;25,016;6377;637,7;0;0,0;13;13,72;31,98;0;14
255;15.07.25 10:40:01;-48,104;367,347;24,447;43,287;24,570;800,204;3,816;56,200;22,860;57,560;22,780;1,950;253,553;25,566;25,028;6377;637,7;0;0,0;11;13,63;31,83;0;14
256;15.07.25 10:40:43;-49,166;358,099;23,833;41,845;24,610;800,192;3,828;56,040;22,940;56,840;22,800;0,192;228,938;25,578;25,041;6377;637,7;0;0,0;13;13,68;32,14;0;14
257;15.07.25 10:41:06;-49,266;471,549;24,545;60,391;24,630;800,192;3,804;55,880;23,000;57,020;22,860;-0,009;62,640;25,590;25,053;6377;637,7;0;0,0;11;14,02;32,46;0;14
258;15.07.25 10:41:48;-49,806;352,036;23,982;40,094;24,690;800,204;3,828;55,980;22,920;58,140;22,880;0,694;241,560;25,578;25,041;6377;637,7;0;0,0;13;13,64;32,14;0;14
259;15.07.25 10:42:11;-49,816;323,470;23,674;37,714;24,670;800,204;3,828;56,040;22,940;57,600;22,860;1,950;262,485;25,590;25,077;6377;637,7;0;0,0;11;13,58;32,14;0;14
260;15.07.25 10:42:52;-50,460;306,378;23,249;35,115;24,640;800,204;3,840;56,320;22,960;57,740;22,940;1,884;269,820;25,590;25,102;6377;637,7;0;0,0;12;13,51;32,14;0;14
261;15.07.25 10:43:33;-51,314;297,664;22,495;33,757;24,630;800,192;3,852;56,240;22,980;57,280;23,020;0,689;67,365;25,590;25,102;6377;637,7;0;0,0;12;13,51;32,30;0;14
